                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3815,                 2.0042,                 1.5411,                0.44841,                0.54982,                0.46994,                0.22245,                 1.6115,                 2.4285,                 1.9567,             0.00066369,             0.00066369,             0.00066369
                      2,                 1.5598,                 1.8484,                 1.6956,                0.37793,                 0.4933,                0.34963,                0.14481,                 1.8564,                 2.3685,                  2.197,              0.0013172,              0.0013172,              0.0013172
                      3,                 1.6028,                 1.7767,                 1.7205,                0.43162,                0.37723,                0.37255,                 0.1707,                 1.8643,                 1.9983,                 2.0476,              0.0019575,              0.0019575,              0.0019575
                      4,                 1.5841,                 1.7232,                 1.7067,                0.35605,                0.43304,                0.32773,                0.14296,                 2.0312,                 2.0426,                 2.1865,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5201,                 1.6286,                 1.6644,                0.51378,                  0.434,                0.47285,                0.24017,                 1.6955,                 1.8646,                 1.9924,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.4833,                 1.5568,                  1.642,                 0.5337,                0.56972,                0.53217,                0.26508,                 1.5797,                 1.6375,                 1.8179,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4918,                 1.5684,                 1.6284,                 0.5378,                0.60491,                 0.5655,                0.30084,                 1.5993,                 1.5169,                 1.8355,               0.001901,               0.001901,               0.001901
                      8,                 1.4337,                 1.4537,                  1.584,                0.61326,                0.62054,                0.61411,                0.33419,                 1.4854,                 1.4681,                 1.7438,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4212,                 1.4498,                  1.588,                0.55126,                0.58036,                0.57919,                0.32781,                 1.4204,                 1.4897,                 1.6621,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.3878,                 1.3929,                 1.5534,                0.68634,                0.66295,                0.68202,                0.33861,                 1.6359,                  1.398,                 1.8696,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3892,                 1.3768,                 1.5547,                0.65671,                0.65625,                0.65973,                0.38418,                 1.4329,                 1.3035,                 1.6569,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3642,                 1.3403,                 1.5393,                 0.6469,                0.67411,                0.67267,                0.38544,                 1.4188,                 1.2875,                 1.6675,               0.001802,               0.001802,               0.001802
                     13,                 1.3391,                 1.3493,                 1.5247,                0.60003,                0.60045,                0.59592,                0.33305,                   1.52,                 1.4842,                 1.8618,              0.0017822,              0.0017822,              0.0017822
                     14,                   1.33,                 1.2801,                 1.5028,                0.68238,                0.63303,                 0.6739,                0.38006,                 1.4615,                 1.2797,                 1.6808,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.3066,                 1.2479,                 1.4909,                 0.5882,                0.68527,                0.64399,                0.37654,                 1.3593,                 1.3333,                 1.6194,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2997,                 1.2268,                 1.4704,                0.70064,                0.67857,                0.71696,                0.42981,                 1.3874,                 1.1725,                 1.6403,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2969,                 1.2204,                 1.4845,                  0.695,                0.71205,                0.73249,                0.44048,                 1.3583,                 1.1675,                 1.6086,               0.001703,               0.001703,               0.001703
                     18,                 1.2934,                 1.1905,                 1.4758,                0.73758,                0.69014,                0.75321,                0.45249,                 1.3353,                 1.1211,                 1.5921,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2901,                 1.1942,                 1.4775,                0.71274,                0.67411,                0.72889,                0.45413,                  1.326,                 1.1291,                 1.5874,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2796,                  1.177,                 1.4696,                0.68043,                0.68915,                0.73063,                0.45324,                 1.3219,                 1.1409,                 1.5697,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.2699,                  1.175,                 1.4602,                0.64948,                0.72098,                0.70312,                 0.4274,                 1.3124,                 1.1456,                  1.582,              0.0016238,              0.0016238,              0.0016238
                     22,                  1.228,                 1.1249,                  1.435,                0.73556,                0.71429,                0.77735,                0.47094,                 1.3026,                 1.0393,                  1.556,               0.001604,               0.001604,               0.001604
                     23,                 1.2262,                 1.1032,                 1.4135,                0.70114,                0.71742,                0.74082,                0.46506,                 1.2577,                 1.0642,                 1.5164,              0.0015842,              0.0015842,              0.0015842
